PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;D01;V01;D02;V02;D03;V03;D04;V04;D05;V05;D06;V06;D07;V07;D08;V08;D09;V09;D10;V10;D11;V11;D12;V12;D13;V13;D14;V14;D15;V15;D16;V16;D17;V17;D18;V18;D19;V19;D20;V20;D21;V21;D22;V22;D23;V23;D24;V24;D25;V25;D26;V26;D27;V27;D28;V28;D29;V29;D30;V30;D31;V31
28;079;102;81;28079102_81_98;2022;01;0.9;V;0.77;V;0.91;V;1.97;V;2.17;V;1.02;V;1.24;V;0.94;V;2.44;V;2.01;V;1.53;V;1.58;V;1.69;V;1.38;V;0.83;V;0.75;V;1.08;V;1.02;V;0.94;V;2.48;V;00000;N;1.64;V;1.41;V;1.47;V;1.88;V;1.97;V;1.68;V;1.61;V;1.52;V;1.13;V;1.24;V
28;079;102;81;28079102_81_98;2022;02;4.13;V;1.04;V;1;V;0.75;V;2.81;V;1.87;V;1.45;V;2.11;V;1.35;V;0.89;V;1.39;V;1.24;V;2.63;V;3.11;V;1.49;V;1.68;V;0.88;N;00000;N;00000;N;1.11;V;1.5;V;2.37;V;1.55;V;1.26;V;2.68;V;2.6;V;1.2;V;1.09;V;00000;N;00000;N;00000;N
28;079;102;82;28079102_82_98;2022;01;8;V;47;V;3;V;275;V;275;V;86;V;31;V;6;V;258;V;0;V;3;V;71;V;40;V;41;V;222;V;46;V;9;V;15;V;39;V;38;V;00000;N;43;V;47;V;58;V;64;V;44;V;58;V;40;V;5;V;14;V;6;V
28;079;102;82;28079102_82_98;2022;02;7;V;1;V;258;V;68;V;53;V;68;V;15;V;45;V;67;V;43;V;48;V;243;V;140;V;267;V;258;V;242;V;26;N;00000;N;00000;N;29;V;12;V;68;V;50;V;66;V;35;V;59;V;84;V;152;V;00000;N;00000;N;00000;N
28;079;102;83;28079102_83_98;2022;01;9.5;V;8.7;V;7.7;V;5.9;V;4.3;V;2.9;V;4;V;1.7;V;6.2;V;9;V;8.4;V;5.4;V;2.7;V;1.9;V;2.2;V;2.3;V;3.5;V;4.6;V;5.1;V;4.7;V;00000;N;2.5;V;3.2;V;3.6;V;4.7;V;3.5;V;5.2;V;5.9;V;6.8;V;7.7;V;7;V
28;079;102;83;28079102_83_98;2022;02;7.7;V;9.8;V;8.1;V;7.1;V;6.8;V;5.8;V;7.7;V;7.7;V;7.5;V;7.7;V;8.6;V;7.7;V;6.8;V;6;V;6.6;V;8;V;5.1;N;00000;N;00000;N;5.9;V;8.7;V;10;V;9.5;V;8.7;V;5.7;V;5;V;7;V;8.8;V;00000;N;00000;N;00000;N
28;079;102;86;28079102_86_98;2022;01;52;V;58;V;71;V;79;V;67;V;70;V;58;V;72;V;68;V;68;V;62;V;51;V;56;V;59;V;58;V;63;V;56;V;45;V;37;V;47;V;00000;N;55;V;65;V;62;V;60;V;63;V;47;V;30;V;24;V;23;V;29;V
28;079;102;86;28079102_86_98;2022;02;49;V;49;V;50;V;63;V;57;V;39;V;36;V;48;V;50;V;52;V;53;V;54;V;66;V;57;V;48;V;54;V;71;N;00000;N;00000;N;46;V;44;V;22;V;31;V;37;V;70;V;81;V;69;V;60;V;00000;N;00000;N;00000;N
28;079;102;87;28079102_87_98;2022;01;948;V;948;V;946;V;939;V;940;V;941;V;946;V;947;V;944;V;943;V;945;V;947;V;950;V;949;V;947;V;948;V;950;V;949;V;948;V;947;V;00000;N;947;V;946;V;947;V;949;V;948;V;948;V;949;V;950;V;948;V;947;V
28;079;102;87;28079102_87_98;2022;02;947;V;947;V;944;V;943;V;945;V;947;V;948;V;948;V;948;V;947;V;946;V;944;V;941;V;941;V;946;V;947;V;947;N;00000;N;00000;N;948;V;947;V;948;V;944;V;942;V;944;V;943;V;943;V;946;V;00000;N;00000;N;00000;N
28;079;102;88;28079102_88_98;2022;01;102;V;97;V;98;V;52;V;75;V;112;V;110;V;80;V;99;V;118;V;111;V;120;V;90;V;120;V;116;V;118;V;118;V;123;V;125;V;127;V;00000;N;127;V;111;V;60;V;68;V;125;V;135;V;143;V;145;V;138;V;141;V
28;079;102;88;28079102_88_98;2022;02;144;V;149;V;127;V;89;V;125;V;156;V;157;V;158;V;159;V;143;V;136;V;152;V;88;V;169;V;164;V;149;V;52;N;00000;N;00000;N;192;V;186;V;195;V;154;V;124;V;40;V;22;V;148;V;198;V;00000;N;00000;N;00000;N
28;079;102;89;28079102_89_98;2022;01;0;V;0;V;0;V;5.5;V;3.6;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;00000;N;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V
28;079;102;89;28079102_89_98;2022;02;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0.6;V;0;V;0;V;0;N;00000;N;00000;N;0;V;0;V;0;V;0;V;0;V;3;V;2.3;V;0.2;V;0;V;00000;N;00000;N;00000;N
28;079;103;81;28079103_81_98;2022;01;0.16;V;0.2;V;0.29;V;1.37;V;1.82;V;0.57;V;0.62;V;0.65;V;2.08;V;1.77;V;0.5;V;0.65;V;0.5;V;0.45;V;0.25;V;0.15;V;0.18;V;0.18;V;0.18;V;0.74;V;0.79;V;0.76;V;0.57;V;0.71;V;0.88;V;0.87;V;0.45;V;0.41;V;0.38;V;0.23;V;0.57;V
28;079;103;81;28079103_81_98;2022;02;2.29;V;0.41;V;0.56;V;0.46;V;1.62;V;0.85;V;0.76;V;1.05;V;0.45;V;0.37;V;0.35;V;0.45;V;2.1;V;2.36;N;1.21;V;1.19;V;0.45;V;0.13;N;00000;N;0.48;V;0.87;V;0.91;V;0.52;V;0.5;V;1.71;V;1.39;V;0.75;N;1.02;N;00000;N;00000;N;00000;N
28;079;103;82;28079103_82_98;2022;01;5;V;4;V;0;V;251;V;8;V;41;V;14;V;1;V;254;V;22;V;10;V;5;V;5;V;3;V;0;V;285;V;250;V;2;V;285;V;21;V;45;V;10;V;4;V;54;V;74;V;20;V;36;V;0;V;54;V;0;V;6;V
