ESTACION,FECHA,SO2,NO2,PM25,PM10,O3
4,01/01/2001,17,58,,,
4,02/01/2001,15,60,,,
4,03/01/2001,15,65,,,
4,04/01/2001,15,63,,,
4,05/01/2001,16,57,,,
4,06/01/2001,20,52,,,
4,07/01/2001,25,57,,,
4,08/01/2001,30,69,,,
4,09/01/2001,32,63,,,
4,10/01/2001,33,62,,,
4,11/01/2001,21,70,,,
4,12/01/2001,36,75,,,
4,13/01/2001,39,67,,,
4,14/01/2001,34,60,,,
4,15/01/2001,23,56,,,
4,16/01/2001,16,59,,,
4,17/01/2001,16,58,,,
4,18/01/2001,17,65,,,
4,19/01/2001,27,59,,,
4,20/01/2001,40,65,,,
4,21/01/2001,32,54,,,
4,22/01/2001,29,58,,,
4,23/01/2001,17,60,,,
4,24/01/2001,17,56,,,
4,25/01/2001,14,55,,,
4,26/01/2001,12,60,,,
4,27/01/2001,19,54,,,
4,28/01/2001,17,33,,,
4,29/01/2001,35,61,,,
4,30/01/2001,40,74,,,
4,31/01/2001,53,63,,,
4,01/02/2001,40,65,,,
4,02/02/2001,42,63,,,
4,03/02/2001,38,61,,,
4,04/02/2001,29,45,,,
4,05/02/2001,18,60,,,
4,06/02/2001,23,62,,,
4,07/02/2001,16,64,,,
4,08/02/2001,17,57,,,
4,09/02/2001,17,56,,,
4,10/02/2001,21,50,,,
4,11/02/2001,36,43,,,
4,12/02/2001,40,61,,,
4,13/02/2001,37,60,,,
4,14/02/2001,26,62,,,
4,15/02/2001,23,64,,,
4,16/02/2001,27,78,,,
4,17/02/2001,33,76,,,
4,18/02/2001,26,56,,,
4,19/02/2001,26,69,,,
4,20/02/2001,40,73,,,
4,21/02/2001,42,87,,,
4,22/02/2001,42,83,,,
4,23/02/2001,42,71,,,
4,24/02/2001,27,62,,,
4,25/02/2001,21,59,,,
4,26/02/2001,22,67,,,
4,27/02/2001,20,53,,,
4,28/02/2001,22,48,,,
4,,0,0,,,
4,,0,0,,,
4,,0,0,,,
4,01/03/2001,19,62,,,
4,02/03/2001,18,63,,,
4,03/03/2001,13,56,,,
4,04/03/2001,11,58,,,
4,05/03/2001,15,68,,,
4,06/03/2001,23,58,,,
4,07/03/2001,15,63,,,
4,08/03/2001,12,52,,,
4,09/03/2001,11,48,,,
4,10/03/2001,10,33,,,
4,11/03/2001,13,35,,,
4,12/03/2001,20,41,,,
4,13/03/2001,16,54,,,
4,14/03/2001,28,75,,,
4,15/03/2001,25,73,,,
4,16/03/2001,17,68,,,
4,17/03/2001,12,49,,,
4,18/03/2001,11,50,,,
4,19/03/2001,14,55,,,
4,20/03/2001,20,48,,,
4,21/03/2001,14,51,,,
4,22/03/2001,19,48,,,
4,23/03/2001,30,62,,,
4,24/03/2001,14,49,,,
